,SigC800,SigBr730,EpsC800,EpsBr730
0,0.15,0.15,0.01,1.0
1,0.44999999999999996,0.44999999999999996,0.5,2.0
2,0.6,0.3,0.255,1.5
3,0.3,0.6,0.745,2.5
4,0.375,0.375,0.6225,2.75
5,0.675,0.675,0.1325,1.75
6,0.525,0.22499999999999998,0.8674999999999999,2.25
7,0.22499999999999998,0.525,0.3775,1.25
8,0.26249999999999996,0.3375,0.92875,1.875
9,0.5625,0.6375,0.43875,2.875
10,0.7125,0.1875,0.68375,1.375
11,0.4125,0.48749999999999993,0.19375,2.375
12,0.3375,0.26249999999999996,0.31625000000000003,2.125
13,0.6375,0.5625,0.80625,1.125
14,0.48749999999999993,0.4125,0.07125,2.625
15,0.1875,0.7125,0.56125,1.625
16,0.20625,0.43125,0.469375,2.3125
17,0.50625,0.73125,0.959375,1.3125
18,0.65625,0.28125,0.224375,2.8125
19,0.35624999999999996,0.5812499999999999,0.714375,1.8125
20,0.43125,0.20625,0.836875,1.5625
21,0.73125,0.50625,0.346875,2.5625
22,0.5812499999999999,0.35624999999999996,0.591875,1.0625
23,0.28125,0.65625,0.101875,2.0625
24,0.24375,0.24375,0.530625,2.6875
25,0.54375,0.54375,0.040625,1.6875
26,0.69375,0.39375,0.775625,2.1875
27,0.39375,0.69375,0.285625,1.1875
28,0.31875,0.31875,0.16312500000000002,1.4375
29,0.61875,0.61875,0.653125,2.4375
30,0.46875,0.16874999999999998,0.408125,1.9375
31,0.16874999999999998,0.46875,0.898125,2.9375
32,0.17812499999999998,0.30937499999999996,0.6990625,2.09375
33,0.478125,0.609375,0.2090625,1.09375
34,0.6281249999999999,0.159375,0.9440625,2.59375
35,0.328125,0.459375,0.4540625,1.59375
36,0.40312499999999996,0.234375,0.0865625,1.84375
37,0.703125,0.5343749999999999,0.5765625,2.84375
38,0.553125,0.384375,0.3315625,1.34375
39,0.253125,0.684375,0.8215625,2.34375
40,0.290625,0.196875,0.2703125,2.96875
41,0.590625,0.49687499999999996,0.7603125,1.96875
42,0.740625,0.346875,0.0253125,2.46875
43,0.44062499999999993,0.646875,0.5153125,1.46875
44,0.365625,0.421875,0.8828125,1.21875
45,0.665625,0.721875,0.3928125,2.21875
46,0.515625,0.271875,0.6378125,1.71875
47,0.215625,0.571875,0.1478125,2.71875
48,0.196875,0.290625,0.7909375,1.28125
49,0.49687499999999996,0.590625,0.3009375,2.28125
50,0.646875,0.44062499999999993,0.5459375,1.78125
51,0.346875,0.740625,0.0559375,2.78125
52,0.421875,0.365625,0.4234375,2.53125
53,0.721875,0.665625,0.9134375,1.53125
54,0.571875,0.215625,0.1784375,2.03125
55,0.271875,0.515625,0.6684375,1.03125
56,0.234375,0.40312499999999996,0.2396875,1.65625
57,0.5343749999999999,0.703125,0.7296875,2.65625
58,0.684375,0.253125,0.4846875,1.15625
59,0.384375,0.553125,0.9746875,2.15625
60,0.30937499999999996,0.17812499999999998,0.6071875,2.40625
61,0.609375,0.478125,0.11718749999999999,1.40625
62,0.459375,0.328125,0.8521875,2.90625
63,0.159375,0.6281249999999999,0.3621875,1.90625
64,0.1640625,0.3890625,0.8139062499999999,2.671875
65,0.46406249999999993,0.6890625,0.32390625,1.671875
66,0.6140625,0.2390625,0.56890625,2.171875
67,0.3140625,0.5390625,0.07890625,1.171875
68,0.3890625,0.1640625,0.44640625,1.421875
69,0.6890625,0.46406249999999993,0.93640625,2.421875
70,0.5390625,0.3140625,0.20140625,1.921875
71,0.2390625,0.6140625,0.69140625,2.921875
72,0.2765625,0.2765625,0.14015625,2.296875
73,0.5765625,0.5765625,0.63015625,1.296875
74,0.7265625,0.42656249999999996,0.38515625,2.796875
75,0.42656249999999996,0.7265625,0.87515625,1.796875
76,0.3515625,0.3515625,0.5076562499999999,1.546875
77,0.6515625,0.6515625,0.01765625,2.546875
78,0.5015625,0.20156249999999998,0.75265625,1.046875
79,0.20156249999999998,0.5015625,0.26265625,2.046875
80,0.2203125,0.2203125,0.66078125,1.984375
81,0.5203125,0.5203125,0.17078125,2.984375
82,0.6703125,0.3703125,0.90578125,1.484375
83,0.3703125,0.6703125,0.41578125,2.484375
84,0.4453125,0.4453125,0.048281250000000005,2.234375
85,0.7453125,0.7453125,0.53828125,1.234375
86,0.5953125,0.2953125,0.29328125,2.734375
87,0.2953125,0.5953125,0.78328125,1.734375
88,0.2578125,0.33281249999999996,0.35453125,1.109375
89,0.5578124999999999,0.6328125,0.84453125,2.109375
90,0.7078125,0.1828125,0.10953125,1.609375
91,0.4078125,0.4828125,0.59953125,2.609375
92,0.33281249999999996,0.2578125,0.96703125,2.859375
93,0.6328125,0.5578124999999999,0.47703125,1.859375
94,0.4828125,0.4078125,0.72203125,2.359375
95,0.1828125,0.7078125,0.23203125,1.359375
96,0.1734375,0.2296875,0.40046875,1.703125
97,0.47343749999999996,0.5296875,0.89046875,2.703125
98,0.6234375,0.37968749999999996,0.15546875000000002,1.203125
99,0.3234375,0.6796875,0.64546875,2.203125
100,0.3984375,0.3046875,0.76796875,2.453125
101,0.6984375,0.6046874999999999,0.27796875,1.453125
102,0.5484375,0.1546875,0.52296875,2.953125
103,0.24843749999999998,0.4546875,0.03296875,1.953125
104,0.28593749999999996,0.41718749999999993,0.58421875,1.328125
105,0.5859375,0.7171875,0.09421874999999999,2.328125
106,0.7359375,0.2671875,0.82921875,1.828125
107,0.4359375,0.5671875,0.33921875,2.828125
108,0.3609375,0.19218749999999998,0.21671875000000002,2.578125
109,0.6609375,0.4921875,0.70671875,1.578125
110,0.5109374999999999,0.3421875,0.46171875,2.078125
111,0.2109375,0.6421875,0.95171875,1.078125
112,0.19218749999999998,0.3609375,0.12484374999999999,2.890625
113,0.4921875,0.6609375,0.61484375,1.890625
114,0.6421875,0.2109375,0.36984375,2.390625
115,0.3421875,0.5109374999999999,0.85984375,1.390625
116,0.41718749999999993,0.28593749999999996,0.73734375,1.140625
117,0.7171875,0.5859375,0.24734375,2.140625
118,0.5671875,0.4359375,0.98234375,1.640625
